ASSERTION	AAECAAMCAAAAAAAAwFdA
ASSERTION	AAMAASBYVUlfUFJMX0MxMDBfNDYwX1N1Ym1pdEFuZFBheU5vdwIAAwIAAAAAAAAAVEA=
ASSERTION	AAMAARtYVUlfUFJMX0ZMNDAxXzQ5MF9TT1RTdWJtaXQCAAMCAAAAAAAAAFRA
ASSERTION	AAMAASNQUkxfQ2l0aXplbkMxMDBfODEwXzAwNV9GaW5hbFN1Ym1pdAIAAwIAAAAAAAAAVEA=
RUN	simulations.XUI_Simulation	xui-simulation	1678462490681	 	3.3.1
USER	***** Private Law Create Case *****	1	START	1678462791797	1678462791797
REQUEST	1	PRL_CitizenC100_010_PRLHome	PRL_CitizenC100_010_005_PRLHome	1678462791883	1678462792027	OK	 
REQUEST	1	PRL_CitizenC100_010_PRLHome	PRL_CitizenC100_010_005_PRLHome Redirect 1	1678462792061	1678462792133	OK	 
REQUEST	1	PRL_CitizenC100_010_PRLHome	PRL_CitizenC100_010_005_PRLHome Redirect 2	1678462792137	1678462792262	OK	 
GROUP	1	PRL_CitizenC100_010_PRLHome	1678462791837	1678462792787	561	OK
REQUEST	1	PRL_CitizenC100_020_Login	PRL_CitizenC100_020_005_Login	1678462798962	1678462799784	OK	 
REQUEST	1	PRL_CitizenC100_020_Login	PRL_CitizenC100_020_005_Login Redirect 1	1678462799815	1678462800499	OK	 
REQUEST	1	PRL_CitizenC100_020_Login	PRL_CitizenC100_020_005_Login Redirect 2	1678462800512	1678462805598	OK	 
GROUP	1	PRL_CitizenC100_020_Login	1678462798928	1678462805816	6756	OK
REQUEST	1	PRL_CitizenC100_030_StartApplication	PRL_CitizenC100_030_005_StartApplication	1678462811837	1678462812026	OK	 
GROUP	1	PRL_CitizenC100_030_StartApplication	1678462811835	1678462812138	265	OK
REQUEST	1	PRL_CitizenC100_040_WhatYouWillNeed	PRL_CitizenC100_040_005_WhatYouWillNeed	1678462818484	1678462825590	KO	css((input[name='_csrf'],Some(value))).find.exists, found nothing
GROUP	1	PRL_CitizenC100_040_WhatYouWillNeed	1678462818468	1678462825628	7106	KO
USER	***** Private Law Create Case *****	1	END	1678462791797	1678462825644
USER	***** Private Law Create Case *****	2	START	1678462971795	1678462971795
REQUEST	2	PRL_CitizenC100_010_PRLHome	PRL_CitizenC100_010_005_PRLHome	1678462971807	1678462971968	OK	 
REQUEST	2	PRL_CitizenC100_010_PRLHome	PRL_CitizenC100_010_005_PRLHome Redirect 1	1678462971973	1678462972061	OK	 
REQUEST	2	PRL_CitizenC100_010_PRLHome	PRL_CitizenC100_010_005_PRLHome Redirect 2	1678462972067	1678462972181	OK	 
GROUP	2	PRL_CitizenC100_010_PRLHome	1678462971802	1678462972413	564	OK
REQUEST	2	PRL_CitizenC100_020_Login	PRL_CitizenC100_020_005_Login	1678462978906	1678462979708	OK	 
REQUEST	2	PRL_CitizenC100_020_Login	PRL_CitizenC100_020_005_Login Redirect 1	1678462979719	1678462980317	OK	 
REQUEST	2	PRL_CitizenC100_020_Login	PRL_CitizenC100_020_005_Login Redirect 2	1678462980329	1678462986157	OK	 
GROUP	2	PRL_CitizenC100_020_Login	1678462978897	1678462986339	7371	OK
REQUEST	2	PRL_CitizenC100_030_StartApplication	PRL_CitizenC100_030_005_StartApplication	1678462992822	1678462992979	OK	 
GROUP	2	PRL_CitizenC100_030_StartApplication	1678462992818	1678462993077	237	OK
REQUEST	2	PRL_CitizenC100_040_WhatYouWillNeed	PRL_CitizenC100_040_005_WhatYouWillNeed	1678462999481	1678463012765	OK	 
REQUEST	2	PRL_CitizenC100_040_WhatYouWillNeed	PRL_CitizenC100_040_005_WhatYouWillNeed Redirect 1	1678463012772	1678463012851	OK	 
GROUP	2	PRL_CitizenC100_040_WhatYouWillNeed	1678462999476	1678463012935	13429	OK
REQUEST	2	PRL_CitizenC100_050_CaseName	PRL_CitizenC100_050_005_CaseName	1678463019463	1678463019836	OK	 
REQUEST	2	PRL_CitizenC100_050_CaseName	PRL_CitizenC100_050_005_CaseName Redirect 1	1678463019840	1678463020793	OK	 
GROUP	2	PRL_CitizenC100_050_CaseName	1678463019458	1678463020896	1400	OK
REQUEST	2	PRL_CitizenC100_060_ChildrenPostCode	PRL_CitizenC100_060_005_ChildrenPostCode	1678463026336	1678463026398	OK	 
REQUEST	2	PRL_CitizenC100_060_ChildrenPostCode	PRL_CitizenC100_060_005_ChildrenPostCode Redirect 1	1678463026407	1678463026474	OK	 
GROUP	2	PRL_CitizenC100_060_ChildrenPostCode	1678463026326	1678463026568	194	OK
REQUEST	2	PRL_CitizenC100_070_WrittenAgreement	PRL_CitizenC100_070_005_WrittenAgreement	1678463032309	1678463032354	OK	 
REQUEST	2	PRL_CitizenC100_070_WrittenAgreement	PRL_CitizenC100_070_005_WrittenAgreement Redirect 1	1678463032363	1678463032444	OK	 
GROUP	2	PRL_CitizenC100_070_WrittenAgreement	1678463032297	1678463032510	187	OK
REQUEST	2	PRL_CitizenC100_080_BeforeCourt	PRL_CitizenC100_080_005_BeforeCourt	1678463039503	1678463039566	OK	 
REQUEST	2	PRL_CitizenC100_080_BeforeCourt	PRL_CitizenC100_080_005_BeforeCourt Redirect 1	1678463039575	1678463039631	OK	 
GROUP	2	PRL_CitizenC100_080_BeforeCourt	1678463039498	1678463039717	177	OK
REQUEST	2	PRL_CitizenC100_090_ReachAgreement	PRL_CitizenC100_090_005_ReachAgreement	1678463045661	1678463045707	OK	 
REQUEST	2	PRL_CitizenC100_090_ReachAgreement	PRL_CitizenC100_090_005_ReachAgreement Redirect 1	1678463045719	1678463045833	OK	 
GROUP	2	PRL_CitizenC100_090_ReachAgreement	1678463045657	1678463045900	222	OK
REQUEST	2	PRL_CitizenC100_100_LegalRep	PRL_CitizenC100_100_005_LegalRep	1678463051871	1678463051910	OK	 
REQUEST	2	PRL_CitizenC100_100_LegalRep	PRL_CitizenC100_100_005_LegalRep Redirect 1	1678463051917	1678463051959	OK	 
GROUP	2	PRL_CitizenC100_100_LegalRep	1678463051867	1678463052050	148	OK
REQUEST	2	PRL_CitizenC100_110_PermissionFromCourt	PRL_CitizenC100_110_005_PermissionFromCourt	1678463058433	1678463058470	OK	 
REQUEST	2	PRL_CitizenC100_110_PermissionFromCourt	PRL_CitizenC100_110_005_PermissionFromCourt Redirect 1	1678463058485	1678463058603	OK	 
GROUP	2	PRL_CitizenC100_110_PermissionFromCourt	1678463058428	1678463058680	222	OK
REQUEST	2	PRL_CitizenC100_120_WhyPermissionFromCourt	PRL_CitizenC100_120_005_WhyPermissionFromCourt	1678463065313	1678463065358	OK	 
REQUEST	2	PRL_CitizenC100_120_WhyPermissionFromCourt	PRL_CitizenC100_120_005_WhyPermissionFromCourt Redirect 1	1678463065367	1678463065430	OK	 
GROUP	2	PRL_CitizenC100_120_WhyPermissionFromCourt	1678463065307	1678463065530	192	OK
REQUEST	2	PRL_CitizenC100_130_WhyCourtShouldGrant	PRL_CitizenC100_130_005_WhyCourtShouldGrant	1678463071322	1678463071375	OK	 
REQUEST	2	PRL_CitizenC100_130_WhyCourtShouldGrant	PRL_CitizenC100_130_005_WhyCourtShouldGrant Redirect 1	1678463071382	1678463071478	OK	 
GROUP	2	PRL_CitizenC100_130_WhyCourtShouldGrant	1678463071318	1678463071557	212	OK
REQUEST	2	PRL_CitizenC100_140_InvolvedInEmergencyProtection	PRL_CitizenC100_140_005_InvolvedInEmergencyProtection	1678463077363	1678463077405	OK	 
REQUEST	2	PRL_CitizenC100_140_InvolvedInEmergencyProtection	PRL_CitizenC100_140_005_InvolvedInEmergencyProtection Redirect 1	1678463077412	1678463077466	OK	 
