ASSERTION	AAECAAMFAAAAAAAAAFlA
RUN	simulations.PRL_Simulation	prl-simulation	1686741861370	 	3.3.1
USER	***** Private Law Create Case *****	1	START	1686741861849	1686741861849
REQUEST	1	XUI_010_Homepage	XUI_010_005_Homepage	1686741861863	1686741862409	OK	 
REQUEST	1	XUI_010_Homepage	XUI_Common_000_ConfigurationUI	1686741862433	1686741864406	OK	 
REQUEST	1	XUI_010_Homepage	XUI_Common_000_ConfigJson	1686741864413	1686741864753	OK	 
REQUEST	1	XUI_010_Homepage	XUI_Common_000_TsAndCs	1686741864755	1686741865087	OK	 
REQUEST	1	XUI_010_Homepage	XUI_Common_000_ConfigUI	1686741865088	1686741865184	OK	 
REQUEST	1	XUI_010_Homepage	XUI_Common_000_UserDetails	1686741865185	1686741865220	OK	 
REQUEST	1	XUI_010_Homepage	XUI_Common_000_IsAuthenticated	1686741865221	1686741865267	OK	 
REQUEST	1	XUI_010_Homepage	XUI_010_010_AuthLogin	1686741865269	1686741865322	OK	 
REQUEST	1	XUI_010_Homepage	XUI_010_010_AuthLogin Redirect 1	1686741865325	1686741865497	OK	 
REQUEST	1	XUI_010_Homepage	XUI_010_010_AuthLogin Redirect 2	1686741865498	1686741865583	OK	 
GROUP	1	XUI_010_Homepage	1686741861854	1686741868353	6410	OK
REQUEST	1	XUI_020_Login	XUI_020_005_Login	1686741868355	1686741868793	OK	 
REQUEST	1	XUI_020_Login	XUI_020_005_Login Redirect 1	1686741868794	1686741870269	OK	 
REQUEST	1	XUI_020_Login	XUI_020_005_Login Redirect 2	1686741870271	1686741870342	OK	 
REQUEST	1	XUI_020_Login	XUI_Common_000_ConfigurationUI	1686741911822	1686741911877	OK	 
REQUEST	1	XUI_020_Login	XUI_Common_000_ConfigJson	1686741911878	1686741911896	OK	 
REQUEST	1	XUI_020_Login	XUI_Common_000_TsAndCs	1686741911897	1686741911964	OK	 
REQUEST	1	XUI_020_Login	XUI_Common_000_ConfigUI	1686741911965	1686741912135	OK	 
REQUEST	1	XUI_020_Login	XUI_Common_000_UserDetails	1686741912136	1686741913012	OK	 
REQUEST	1	XUI_020_Login	XUI_Common_000_IsAuthenticated	1686741913014	1686741913271	OK	 
REQUEST	1	XUI_020_Login	XUI_Common_000_MonitoringTools	1686741913275	1686741913491	OK	 
GROUP	1	XUI_020_Login	1686741868353	1686741913510	45117	OK
REQUEST	1	XUI_PRL_030_CreateCaseStart	XUI_PRL_030_005_CreateCaseStart	1686741913520	1686741917643	OK	 
GROUP	1	XUI_PRL_030_CreateCaseStart	1686741913510	1686741917650	4123	OK
REQUEST	1	XUI_PRL_031_Type_Of_Application	XUI_PRL_031_005_Type_Of_Application	1686741917652	1686741918290	OK	 
GROUP	1	XUI_PRL_031_Type_Of_Application	1686741917650	1686741918291	638	OK
REQUEST	1	XUI_PRL_032_ApplicationCheckYourAnswers	XUI_PRL_032_005_ApplicationCheckYourAnswers	1686741918291	1686741928249	OK	 
GROUP	1	XUI_PRL_032_ApplicationCheckYourAnswers	1686741918291	1686741928262	9958	OK
REQUEST	1	XUI_PRL_033_ApplicationDetails	XUI_PRL_033_005_ApplicationDetails	1686741928263	1686741935607	OK	 
GROUP	1	XUI_PRL_033_ApplicationDetails	1686741928262	1686741935692	7344	OK
REQUEST	1	XUI_PRL_034_EnterApplicationDetails	XUI_PRL_034_005_EnterApplicationDetails	1686741935693	1686741936525	OK	 
GROUP	1	XUI_PRL_034_EnterApplicationDetails	1686741935692	1686741936526	832	OK
REQUEST	1	XUI_PRL_035_SubmitApplicationDetails	XUI_PRL_035_005_SubmitApplicationDetails	1686741936526	1686741949804	OK	 
