ASSERTION	AAECAAMFAAAAAAAAAFlA
RUN	simulations.PRL_Simulation	prl-simulation	1686578781062	 	3.3.1
USER	***** Private Law Create Case *****	1	START	1686578781348	1686578781348
REQUEST	1	XUI_010_Homepage	XUI_010_005_Homepage	1686578781359	1686578783163	OK	 
REQUEST	1	XUI_010_Homepage	XUI_Common_000_ConfigurationUI	1686578783192	1686578784269	OK	 
REQUEST	1	XUI_010_Homepage	XUI_Common_000_ConfigJson	1686578784283	1686578784617	OK	 
REQUEST	1	XUI_010_Homepage	XUI_Common_000_TsAndCs	1686578784623	1686578785436	OK	 
REQUEST	1	XUI_010_Homepage	XUI_Common_000_ConfigUI	1686578785439	1686578786243	OK	 
REQUEST	1	XUI_010_Homepage	XUI_Common_000_UserDetails	1686578786247	1686578787084	OK	 
REQUEST	1	XUI_010_Homepage	XUI_Common_000_IsAuthenticated	1686578787087	1686578787616	OK	 
REQUEST	1	XUI_010_Homepage	XUI_010_010_AuthLogin	1686578787621	1686578788392	OK	 
REQUEST	1	XUI_010_Homepage	XUI_010_010_AuthLogin Redirect 1	1686578788400	1686578790117	OK	 
REQUEST	1	XUI_010_Homepage	XUI_010_010_AuthLogin Redirect 2	1686578790120	1686578790492	OK	 
GROUP	1	XUI_010_Homepage	1686578781352	1686578793731	12243	OK
REQUEST	1	XUI_020_Login	XUI_020_005_Login	1686578793735	1686578794287	OK	 
REQUEST	1	XUI_020_Login	XUI_020_005_Login Redirect 1	1686578794289	1686578795655	OK	 
REQUEST	1	XUI_020_Login	XUI_020_005_Login Redirect 2	1686578795656	1686578795750	OK	 
REQUEST	1	XUI_020_Login	XUI_Common_000_ConfigurationUI	1686578837209	1686578837283	OK	 
REQUEST	1	XUI_020_Login	XUI_Common_000_ConfigJson	1686578837284	1686578837346	OK	 
REQUEST	1	XUI_020_Login	XUI_Common_000_TsAndCs	1686578837347	1686578837608	OK	 
REQUEST	1	XUI_020_Login	XUI_Common_000_ConfigUI	1686578837609	1686578837671	OK	 
REQUEST	1	XUI_020_Login	XUI_Common_000_UserDetails	1686578837672	1686578838059	OK	 
REQUEST	1	XUI_020_Login	XUI_Common_000_IsAuthenticated	1686578838060	1686578838110	OK	 
REQUEST	1	XUI_020_Login	XUI_Common_000_MonitoringTools	1686578838114	1686578838159	OK	 
GROUP	1	XUI_020_Login	1686578793732	1686578838179	44409	OK
REQUEST	1	XUI_PRL_030_CreateCaseStart	XUI_PRL_030_005_CreateCaseStart	1686578838188	1686578842401	OK	 
GROUP	1	XUI_PRL_030_CreateCaseStart	1686578838180	1686578842407	4213	OK
REQUEST	1	XUI_PRL_031_Type_Of_Application	XUI_PRL_031_005_Type_Of_Application	1686578842409	1686578843464	OK	 
GROUP	1	XUI_PRL_031_Type_Of_Application	1686578842407	1686578843465	1055	OK
REQUEST	1	XUI_PRL_032_ApplicationCheckYourAnswers	XUI_PRL_032_005_ApplicationCheckYourAnswers	1686578843466	1686578854111	OK	 
GROUP	1	XUI_PRL_032_ApplicationCheckYourAnswers	1686578843465	1686578854144	10645	OK
REQUEST	1	XUI_PRL_033_ApplicationDetails	XUI_PRL_033_005_ApplicationDetails	1686578854144	1686578854437	OK	 
GROUP	1	XUI_PRL_033_ApplicationDetails	1686578854144	1686578854645	499	OK
REQUEST	1	XUI_PRL_034_EnterApplicationDetails	XUI_PRL_034_005_EnterApplicationDetails	1686578854646	1686578855553	OK	 
GROUP	1	XUI_PRL_034_EnterApplicationDetails	1686578854645	1686578855553	907	OK
REQUEST	1	XUI_PRL_035_SubmitApplicationDetails	XUI_PRL_035_005_SubmitApplicationDetails	1686578855554	1686578858581	KO	substring(CALLBACK_COMPLETED).find.exists, found nothing
GROUP	1	XUI_PRL_035_SubmitApplicationDetails	1686578855553	1686578858588	3027	KO
USER	***** Private Law Create Case *****	1	END	1686578781348	1686578858591
