ASSERTION	AAECAAMCAAAAAAAAwFdA
ASSERTION	AAMAASBYVUlfUFJMX0MxMDBfNDYwX1N1Ym1pdEFuZFBheU5vdwIAAwIAAAAAAAAAVEA=
ASSERTION	AAMAARtYVUlfUFJMX0ZMNDAxXzQ5MF9TT1RTdWJtaXQCAAMCAAAAAAAAAFRA
ASSERTION	AAMAASNQUkxfQ2l0aXplbkMxMDBfODEwXzAwNV9GaW5hbFN1Ym1pdAIAAwIAAAAAAAAAVEA=
RUN	simulations.XUI_Simulation	xui-simulation	1677494725638	 	3.3.1
USER	***** Private Law Create Case *****	1	START	1677495027030	1677495027030
REQUEST	1	PRL_CitizenC100_010_PRLHome	PRL_CitizenC100_010_005_PRLHome	1677495027081	1677495027218	OK	 
REQUEST	1	PRL_CitizenC100_010_PRLHome	PRL_CitizenC100_010_005_PRLHome Redirect 1	1677495027281	1677495027330	OK	 
REQUEST	1	PRL_CitizenC100_010_PRLHome	PRL_CitizenC100_010_005_PRLHome Redirect 2	1677495027332	1677495027428	OK	 
GROUP	1	PRL_CitizenC100_010_PRLHome	1677495027044	1677495028085	540	OK
REQUEST	1	PRL_CitizenC100_020_Login	PRL_CitizenC100_020_005_Login	1677495033155	1677495033718	OK	 
REQUEST	1	PRL_CitizenC100_020_Login	PRL_CitizenC100_020_005_Login Redirect 1	1677495033721	1677495034231	OK	 
REQUEST	1	PRL_CitizenC100_020_Login	PRL_CitizenC100_020_005_Login Redirect 2	1677495034232	1677495038430	OK	 
GROUP	1	PRL_CitizenC100_020_Login	1677495033150	1677495038648	5430	OK
REQUEST	1	PRL_CitizenC100_030_StartApplication	PRL_CitizenC100_030_005_StartApplication	1677495045221	1677495045301	OK	 
GROUP	1	PRL_CitizenC100_030_StartApplication	1677495045219	1677495045405	159	OK
REQUEST	1	PRL_CitizenC100_040_WhatYouWillNeed	PRL_CitizenC100_040_005_WhatYouWillNeed	1677495051823	1677495078773	OK	 
REQUEST	1	PRL_CitizenC100_040_WhatYouWillNeed	PRL_CitizenC100_040_005_WhatYouWillNeed Redirect 1	1677495078774	1677495078814	OK	 
GROUP	1	PRL_CitizenC100_040_WhatYouWillNeed	1677495051821	1677495078907	27070	OK
REQUEST	1	PRL_CitizenC100_050_CaseName	PRL_CitizenC100_050_005_CaseName	1677495085293	1677495085349	OK	 
REQUEST	1	PRL_CitizenC100_050_CaseName	PRL_CitizenC100_050_005_CaseName Redirect 1	1677495085350	1677495085392	OK	 
GROUP	1	PRL_CitizenC100_050_CaseName	1677495085292	1677495085502	164	OK
REQUEST	1	PRL_CitizenC100_060_ChildrenPostCode	PRL_CitizenC100_060_005_ChildrenPostCode	1677495092352	1677495092403	OK	 
REQUEST	1	PRL_CitizenC100_060_ChildrenPostCode	PRL_CitizenC100_060_005_ChildrenPostCode Redirect 1	1677495092408	1677495092520	OK	 
GROUP	1	PRL_CitizenC100_060_ChildrenPostCode	1677495092351	1677495092586	224	OK
REQUEST	1	PRL_CitizenC100_070_WrittenAgreement	PRL_CitizenC100_070_005_WrittenAgreement	1677495099453	1677495099491	OK	 
REQUEST	1	PRL_CitizenC100_070_WrittenAgreement	PRL_CitizenC100_070_005_WrittenAgreement Redirect 1	1677495099492	1677495099546	OK	 
GROUP	1	PRL_CitizenC100_070_WrittenAgreement	1677495099451	1677495099646	186	OK
REQUEST	1	PRL_CitizenC100_080_BeforeCourt	PRL_CitizenC100_080_005_BeforeCourt	1677495106581	1677495106618	OK	 
REQUEST	1	PRL_CitizenC100_080_BeforeCourt	PRL_CitizenC100_080_005_BeforeCourt Redirect 1	1677495106618	1677495106663	OK	 
GROUP	1	PRL_CitizenC100_080_BeforeCourt	1677495106580	1677495106722	139	OK
REQUEST	1	PRL_CitizenC100_090_ReachAgreement	PRL_CitizenC100_090_005_ReachAgreement	1677495111902	1677495111936	OK	 
REQUEST	1	PRL_CitizenC100_090_ReachAgreement	PRL_CitizenC100_090_005_ReachAgreement Redirect 1	1677495111938	1677495111980	OK	 
GROUP	1	PRL_CitizenC100_090_ReachAgreement	1677495111901	1677495112075	163	OK
REQUEST	1	PRL_CitizenC100_100_LegalRep	PRL_CitizenC100_100_005_LegalRep	1677495118803	1677495118835	OK	 
REQUEST	1	PRL_CitizenC100_100_LegalRep	PRL_CitizenC100_100_005_LegalRep Redirect 1	1677495118836	1677495118889	OK	 
GROUP	1	PRL_CitizenC100_100_LegalRep	1677495118800	1677495118965	157	OK
REQUEST	1	PRL_CitizenC100_110_PermissionFromCourt	PRL_CitizenC100_110_005_PermissionFromCourt	1677495125212	1677495125244	OK	 
REQUEST	1	PRL_CitizenC100_110_PermissionFromCourt	PRL_CitizenC100_110_005_PermissionFromCourt Redirect 1	1677495125245	1677495125311	OK	 
GROUP	1	PRL_CitizenC100_110_PermissionFromCourt	1677495125210	1677495125383	165	OK
