ASSERTION	AAECAAMCAAAAAAAAwFdA
ASSERTION	AAMAASBYVUlfUFJMX0MxMDBfNDYwX1N1Ym1pdEFuZFBheU5vdwIAAwIAAAAAAAAAVEA=
ASSERTION	AAMAARtYVUlfUFJMX0ZMNDAxXzQ5MF9TT1RTdWJtaXQCAAMCAAAAAAAAAFRA
ASSERTION	AAMAASNQUkxfQ2l0aXplbkMxMDBfODEwXzAwNV9GaW5hbFN1Ym1pdAIAAwIAAAAAAAAAVEA=
RUN	simulations.PRL_Simulation	prl-simulation	1691079999675	 	3.3.1
USER	***** Cafcas Case data By Dates*****	1	START	1691080299957	1691080299957
REQUEST	1		CAFCAS_000_Auth	1691080299978	1691080300200	OK	 
REQUEST	1		CAFCAS_000_GetBearerToken	1691080305032	1691080305387	OK	 
REQUEST	1		CafcasAPI_000_searchCasesByDates	1691080310309	1691080338128	OK	 
USER	***** Cafcas Case data By Dates*****	1	END	1691080299957	1691080342030
USER	***** Cafcas Case data By Dates*****	2	START	1691081199946	1691081199946
REQUEST	2		CAFCAS_000_Auth	1691081199951	1691081200018	OK	 
REQUEST	2		CAFCAS_000_GetBearerToken	1691081204418	1691081205440	OK	 
REQUEST	2		CafcasAPI_000_searchCasesByDates	1691081209739	1691081236272	OK	 
USER	***** Cafcas Case data By Dates*****	2	END	1691081199946	1691081239677
USER	***** Cafcas Case data By Dates*****	3	START	1691082099957	1691082099957
REQUEST	3		CAFCAS_000_Auth	1691082099961	1691082100056	OK	 
REQUEST	3		CAFCAS_000_GetBearerToken	1691082104508	1691082105287	OK	 
REQUEST	3		CafcasAPI_000_searchCasesByDates	1691082108568	1691082129586	OK	 
USER	***** Cafcas Case data By Dates*****	3	END	1691082099957	1691082134166
USER	***** Cafcas Case data By Dates*****	4	START	1691082999960	1691082999960
REQUEST	4		CAFCAS_000_Auth	1691082999965	1691083000066	OK	 
REQUEST	4		CAFCAS_000_GetBearerToken	1691083003999	1691083004776	OK	 
REQUEST	4		CafcasAPI_000_searchCasesByDates	1691083008368	1691083033481	OK	 
USER	***** Cafcas Case data By Dates*****	4	END	1691082999960	1691083038478
