ASSERTION	AAECAAMCAAAAAAAAwFdA
ASSERTION	AAMAASBYVUlfUFJMX0MxMDBfNDYwX1N1Ym1pdEFuZFBheU5vdwIAAwIAAAAAAAAAVEA=
ASSERTION	AAMAARtYVUlfUFJMX0ZMNDAxXzQ5MF9TT1RTdWJtaXQCAAMCAAAAAAAAAFRA
ASSERTION	AAMAASNQUkxfQ2l0aXplbkMxMDBfODEwXzAwNV9GaW5hbFN1Ym1pdAIAAwIAAAAAAAAAVEA=
RUN	simulations.XUI_Simulation	xui-simulation	1678700009111	 	3.3.1
USER	***** Private Law Create Case *****	1	START	1678700311396	1678700311396
REQUEST	1	PRL_CitizenC100_010_PRLHome	PRL_CitizenC100_010_005_PRLHome	1678700311456	1678700311589	OK	 
REQUEST	1	PRL_CitizenC100_010_PRLHome	PRL_CitizenC100_010_005_PRLHome Redirect 1	1678700311625	1678700311670	OK	 
REQUEST	1	PRL_CitizenC100_010_PRLHome	PRL_CitizenC100_010_005_PRLHome Redirect 2	1678700311674	1678700311792	OK	 
GROUP	1	PRL_CitizenC100_010_PRLHome	1678700311420	1678700312309	526	OK
REQUEST	1	PRL_CitizenC100_020_Login	PRL_CitizenC100_020_005_Login	1678700317962	1678700318488	OK	 
REQUEST	1	PRL_CitizenC100_020_Login	PRL_CitizenC100_020_005_Login Redirect 1	1678700318502	1678700319149	OK	 
REQUEST	1	PRL_CitizenC100_020_Login	PRL_CitizenC100_020_005_Login Redirect 2	1678700319152	1678700323832	OK	 
GROUP	1	PRL_CitizenC100_020_Login	1678700317954	1678700324037	6022	OK
REQUEST	1	PRL_CitizenC100_030_StartApplication	PRL_CitizenC100_030_005_StartApplication	1678700330366	1678700330439	OK	 
GROUP	1	PRL_CitizenC100_030_StartApplication	1678700330363	1678700330533	144	OK
REQUEST	1	PRL_CitizenC100_040_WhatYouWillNeed	PRL_CitizenC100_040_005_WhatYouWillNeed	1678700337444	1678700352922	OK	 
REQUEST	1	PRL_CitizenC100_040_WhatYouWillNeed	PRL_CitizenC100_040_005_WhatYouWillNeed Redirect 1	1678700352931	1678700353011	OK	 
GROUP	1	PRL_CitizenC100_040_WhatYouWillNeed	1678700337437	1678700353157	15644	OK
REQUEST	1	PRL_CitizenC100_050_CaseName	PRL_CitizenC100_050_005_CaseName	1678700359959	1678700360021	OK	 
REQUEST	1	PRL_CitizenC100_050_CaseName	PRL_CitizenC100_050_005_CaseName Redirect 1	1678700360030	1678700360083	OK	 
GROUP	1	PRL_CitizenC100_050_CaseName	1678700359955	1678700360186	190	OK
REQUEST	1	PRL_CitizenC100_060_ChildrenPostCode	PRL_CitizenC100_060_005_ChildrenPostCode	1678700366714	1678700366799	OK	 
REQUEST	1	PRL_CitizenC100_060_ChildrenPostCode	PRL_CitizenC100_060_005_ChildrenPostCode Redirect 1	1678700366804	1678700366913	OK	 
GROUP	1	PRL_CitizenC100_060_ChildrenPostCode	1678700366713	1678700367014	288	OK
REQUEST	1	PRL_CitizenC100_070_WrittenAgreement	PRL_CitizenC100_070_005_WrittenAgreement	1678700373488	1678700373547	OK	 
REQUEST	1	PRL_CitizenC100_070_WrittenAgreement	PRL_CitizenC100_070_005_WrittenAgreement Redirect 1	1678700373552	1678700373615	OK	 
GROUP	1	PRL_CitizenC100_070_WrittenAgreement	1678700373482	1678700373683	183	OK
REQUEST	1	PRL_CitizenC100_080_BeforeCourt	PRL_CitizenC100_080_005_BeforeCourt	1678700379008	1678700379047	OK	 
REQUEST	1	PRL_CitizenC100_080_BeforeCourt	PRL_CitizenC100_080_005_BeforeCourt Redirect 1	1678700379050	1678700379116	OK	 
GROUP	1	PRL_CitizenC100_080_BeforeCourt	1678700379005	1678700379185	162	OK
REQUEST	1	PRL_CitizenC100_090_ReachAgreement	PRL_CitizenC100_090_005_ReachAgreement	1678700385736	1678700385781	OK	 
REQUEST	1	PRL_CitizenC100_090_ReachAgreement	PRL_CitizenC100_090_005_ReachAgreement Redirect 1	1678700385783	1678700385834	OK	 
GROUP	1	PRL_CitizenC100_090_ReachAgreement	1678700385733	1678700385920	175	OK
REQUEST	1	PRL_CitizenC100_100_LegalRep	PRL_CitizenC100_100_005_LegalRep	1678700391860	1678700391893	OK	 
REQUEST	1	PRL_CitizenC100_100_LegalRep	PRL_CitizenC100_100_005_LegalRep Redirect 1	1678700391899	1678700391962	OK	 
GROUP	1	PRL_CitizenC100_100_LegalRep	1678700391855	1678700392038	161	OK
REQUEST	1	PRL_CitizenC100_110_PermissionFromCourt	PRL_CitizenC100_110_005_PermissionFromCourt	1678700398942	1678700398978	OK	 
REQUEST	1	PRL_CitizenC100_110_PermissionFromCourt	PRL_CitizenC100_110_005_PermissionFromCourt Redirect 1	1678700398984	1678700399045	OK	 
GROUP	1	PRL_CitizenC100_110_PermissionFromCourt	1678700398934	1678700399119	159	OK
REQUEST	1	PRL_CitizenC100_120_WhyPermissionFromCourt	PRL_CitizenC100_120_005_WhyPermissionFromCourt	1678700404495	1678700404529	OK	 
REQUEST	1	PRL_CitizenC100_120_WhyPermissionFromCourt	PRL_CitizenC100_120_005_WhyPermissionFromCourt Redirect 1	1678700404531	1678700404594	OK	 
GROUP	1	PRL_CitizenC100_120_WhyPermissionFromCourt	1678700404494	1678700404666	161	OK
REQUEST	1	PRL_CitizenC100_130_WhyCourtShouldGrant	PRL_CitizenC100_130_005_WhyCourtShouldGrant	1678700411430	1678700411475	OK	 
REQUEST	1	PRL_CitizenC100_130_WhyCourtShouldGrant	PRL_CitizenC100_130_005_WhyCourtShouldGrant Redirect 1	1678700411479	1678700411527	OK	 
GROUP	1	PRL_CitizenC100_130_WhyCourtShouldGrant	1678700411428	1678700411609	167	OK
REQUEST	1	PRL_CitizenC100_140_InvolvedInEmergencyProtection	PRL_CitizenC100_140_005_InvolvedInEmergencyProtection	1678700417238	1678700417268	OK	 
REQUEST	1	PRL_CitizenC100_140_InvolvedInEmergencyProtection	PRL_CitizenC100_140_005_InvolvedInEmergencyProtection Redirect 1	1678700417275	1678700417357	OK	 
GROUP	1	PRL_CitizenC100_140_InvolvedInEmergencyProtection	1678700417233	1678700417431	179	OK
REQUEST	1	PRL_CitizenC100_150_AttendingMIAM	PRL_CitizenC100_150_005_AttendingMIAM	1678700422837	1678700422877	OK	 
REQUEST	1	PRL_CitizenC100_150_AttendingMIAM	PRL_CitizenC100_150_005_AttendingMIAM Redirect 1	1678700422883	1678700422953	OK	 
GROUP	1	PRL_CitizenC100_150_AttendingMIAM	1678700422834	1678700423020	168	OK
REQUEST	1	PRL_CitizenC100_160_AttendedMIAM	PRL_CitizenC100_160_005_AttendedMIAM	1678700428476	1678700428585	OK	 
REQUEST	1	PRL_CitizenC100_160_AttendedMIAM	PRL_CitizenC100_160_005_AttendedMIAM Redirect 1	1678700428586	1678700428671	OK	 
GROUP	1	PRL_CitizenC100_160_AttendedMIAM	1678700428474	1678700428758	275	OK
REQUEST	1	PRL_CitizenC100_170_DocumentSigned	PRL_CitizenC100_170_005_DocumentSigned	1678700433887	1678700433932	OK	 
REQUEST	1	PRL_CitizenC100_170_DocumentSigned	PRL_CitizenC100_170_005_DocumentSigned Redirect 1	1678700433939	1678700433993	OK	 
GROUP	1	PRL_CitizenC100_170_DocumentSigned	1678700433874	1678700434093	163	OK
REQUEST	1	PRL_CitizenC100_180_MIAMUpload	PRL_CitizenC100_180_005_MIAMUpload	1678700439876	1678700441566	OK	 
