ASSERTION	AAECAAMCAAAAAAAAwFdA
ASSERTION	AAMAASBYVUlfUFJMX0MxMDBfNDYwX1N1Ym1pdEFuZFBheU5vdwIAAwIAAAAAAAAAVEA=
ASSERTION	AAMAARtYVUlfUFJMX0ZMNDAxXzQ5MF9TT1RTdWJtaXQCAAMCAAAAAAAAAFRA
ASSERTION	AAMAASNQUkxfQ2l0aXplbkMxMDBfODEwXzAwNV9GaW5hbFN1Ym1pdAIAAwIAAAAAAAAAVEA=
RUN	simulations.PRL_Simulation	prl-simulation	1686846226240	 	3.3.1
USER	***** Private Law Create Case *****	1	START	1686846526604	1686846526604
REQUEST	1	PRL_Citizen_010_PRLHome	PRL_Citizen_010_005_PRLHome	1686846526629	1686846526766	OK	 
REQUEST	1	PRL_Citizen_010_PRLHome	PRL_Citizen_010_005_PRLHome Redirect 1	1686846526777	1686846526823	OK	 
REQUEST	1	PRL_Citizen_010_PRLHome	PRL_Citizen_010_005_PRLHome Redirect 2	1686846526824	1686846526887	OK	 
REQUEST	1	PRL_Citizen_010_PRLHome	PRL_Citizen_010_005_PRLHome Redirect 3	1686846526888	1686846526999	OK	 
GROUP	1	PRL_Citizen_010_PRLHome	1686846526610	1686846527437	532	OK
REQUEST	1	PRL_Citizen_020_Login	PRL_Citizen_020_005_Login	1686846531986	1686846532237	OK	 
REQUEST	1	PRL_Citizen_020_Login	PRL_Citizen_020_005_Login Redirect 1	1686846532240	1686846532506	OK	 
REQUEST	1	PRL_Citizen_020_Login	PRL_Citizen_020_005_Login Redirect 2	1686846532507	1686846537015	OK	 
GROUP	1	PRL_Citizen_020_Login	1686846531983	1686846537166	5166	OK
REQUEST	1	PRL_Citizen_030_C100StartApplication	PRL_Citizen_030_005_C100StartApplication	1686846540394	1686846540804	OK	 
GROUP	1	PRL_Citizen_030_C100StartApplication	1686846540393	1686846540932	533	OK
REQUEST	1	PRL_Citizen_040_StartTheApplicationC100	PRL_Citizen_040_005_StartTheApplicationC100	1686846544704	1686846544823	OK	 
GROUP	1	PRL_Citizen_040_StartTheApplicationC100	1686846544703	1686846544910	204	OK
REQUEST	1	PRL_Citizen_041_Dashboard	PRL_Citizen_041_005_Dashboard	1686846549344	1686846549436	OK	 
REQUEST	1	PRL_Citizen_041_Dashboard	PRL_Citizen_041_005_Dashboard Redirect 1	1686846549437	1686846552374	OK	 
GROUP	1	PRL_Citizen_041_Dashboard	1686846549344	1686846552516	3168	OK
REQUEST	1	PRL_Citizen_042_ActivateAccessCode	PRL_Citizen_042_005_ActivateAccessCode	1686846556755	1686846556837	OK	 
GROUP	1	PRL_Citizen_042_ActivateAccessCode	1686846556754	1686846556917	158	OK
REQUEST	1	PRL_Citizen_043_CaseAdded	PRL_Citizen_043_005_AccessYourCase	1686846561593	1686846563535	OK	 
REQUEST	1	PRL_Citizen_043_CaseAdded	PRL_Citizen_043_005_AccessYourCase Redirect 1	1686846563536	1686846573470	OK	 
GROUP	1	PRL_Citizen_043_CaseAdded	1686846561593	1686846573588	11992	OK
REQUEST	1	PRL_Citizen_044_AccessCodeContinue	PRL_Citizen_044_005_AccessCodeContinue	1686846577523	1686846577730	OK	 
REQUEST	1	PRL_Citizen_044_AccessCodeContinue	PRL_Citizen_044_005_AccessCodeContinue Redirect 1	1686846577731	1686846577920	OK	 
GROUP	1	PRL_Citizen_044_AccessCodeContinue	1686846577523	1686846578095	569	OK
REQUEST	1	PRL_Citizen_045_AccessCase	PRL_Citizen_045_005_AccessCase	1686846582985	1686846583648	OK	 
REQUEST	1	PRL_Citizen_045_AccessCase	PRL_Citizen_045_005_AccessCase Redirect 1	1686846583648	1686846583759	OK	 
GROUP	1	PRL_Citizen_045_AccessCase	1686846582984	1686846583879	892	OK
GROUP	1	PRL_CitizenC100_010_PRLHome	1686846587195	1686846587195	0	OK
REQUEST	1	PRL_CitizenC100_040_WhatYouWillNeed	PRL_CitizenC100_040_005_WhatYouWillNeed	1686846590313	1686846593436	OK	 
REQUEST	1	PRL_CitizenC100_040_WhatYouWillNeed	PRL_CitizenC100_040_005_WhatYouWillNeed Redirect 1	1686846593436	1686846593475	OK	 
GROUP	1	PRL_CitizenC100_040_WhatYouWillNeed	1686846590313	1686846593645	3329	OK
REQUEST	1	PRL_CitizenC100_050_CaseName	PRL_CitizenC100_050_005_CaseName	1686846598385	1686846598458	OK	 
REQUEST	1	PRL_CitizenC100_050_CaseName	PRL_CitizenC100_050_005_CaseName Redirect 1	1686846598459	1686846598531	OK	 
GROUP	1	PRL_CitizenC100_050_CaseName	1686846598385	1686846598627	239	OK
REQUEST	1	PRL_CitizenC100_060_ChildrenPostCode	PRL_CitizenC100_060_005_ChildrenPostCode	1686846602335	1686846602400	OK	 
REQUEST	1	PRL_CitizenC100_060_ChildrenPostCode	PRL_CitizenC100_060_005_ChildrenPostCode Redirect 1	1686846602401	1686846602450	OK	 
GROUP	1	PRL_CitizenC100_060_ChildrenPostCode	1686846602335	1686846602541	202	OK
REQUEST	1	PRL_CitizenC100_070_WrittenAgreement	PRL_CitizenC100_070_005_WrittenAgreement	1686846607166	1686846607195	OK	 
REQUEST	1	PRL_CitizenC100_070_WrittenAgreement	PRL_CitizenC100_070_005_WrittenAgreement Redirect 1	1686846607195	1686846607247	OK	 
GROUP	1	PRL_CitizenC100_070_WrittenAgreement	1686846607165	1686846607306	138	OK
REQUEST	1	PRL_CitizenC100_080_BeforeCourt	PRL_CitizenC100_080_005_BeforeCourt	1686846611915	1686846611956	OK	 
REQUEST	1	PRL_CitizenC100_080_BeforeCourt	PRL_CitizenC100_080_005_BeforeCourt Redirect 1	1686846611957	1686846612024	OK	 
GROUP	1	PRL_CitizenC100_080_BeforeCourt	1686846611915	1686846612097	178	OK
REQUEST	1	PRL_CitizenC100_090_ReachAgreement	PRL_CitizenC100_090_005_ReachAgreement	1686846615136	1686846615179	OK	 
REQUEST	1	PRL_CitizenC100_090_ReachAgreement	PRL_CitizenC100_090_005_ReachAgreement Redirect 1	1686846615179	1686846615216	OK	 
GROUP	1	PRL_CitizenC100_090_ReachAgreement	1686846615135	1686846615294	156	OK
REQUEST	1	PRL_CitizenC100_100_LegalRep	PRL_CitizenC100_100_005_LegalRep	1686846619016	1686846619044	OK	 
REQUEST	1	PRL_CitizenC100_100_LegalRep	PRL_CitizenC100_100_005_LegalRep Redirect 1	1686846619045	1686846619110	OK	 
GROUP	1	PRL_CitizenC100_100_LegalRep	1686846619016	1686846619188	169	OK
REQUEST	1	PRL_CitizenC100_110_PermissionFromCourt	PRL_CitizenC100_110_005_PermissionFromCourt	1686846623925	1686846623968	OK	 
REQUEST	1	PRL_CitizenC100_110_PermissionFromCourt	PRL_CitizenC100_110_005_PermissionFromCourt Redirect 1	1686846623969	1686846624005	OK	 
GROUP	1	PRL_CitizenC100_110_PermissionFromCourt	1686846623924	1686846624076	148	OK
REQUEST	1	PRL_CitizenC100_120_WhyPermissionFromCourt	PRL_CitizenC100_120_005_WhyPermissionFromCourt	1686846627805	1686846627831	OK	 
REQUEST	1	PRL_CitizenC100_120_WhyPermissionFromCourt	PRL_CitizenC100_120_005_WhyPermissionFromCourt Redirect 1	1686846627832	1686846627886	OK	 
GROUP	1	PRL_CitizenC100_120_WhyPermissionFromCourt	1686846627805	1686846627958	150	OK
REQUEST	1	PRL_CitizenC100_130_WhyCourtShouldGrant	PRL_CitizenC100_130_005_WhyCourtShouldGrant	1686846632365	1686846632406	OK	 
REQUEST	1	PRL_CitizenC100_130_WhyCourtShouldGrant	PRL_CitizenC100_130_005_WhyCourtShouldGrant Redirect 1	1686846632406	1686846632447	OK	 
GROUP	1	PRL_CitizenC100_130_WhyCourtShouldGrant	1686846632365	1686846632529	163	OK
